generation,individual,fitness_f1,learning_rate,epochs,batch_size,dropout1,dropout2,dropout3,h1,h2,h3,patience
1,1,0.7105263157894737,0.002440040001969221,36,64,0.3,0.2,0.1,64,32,16,8
1,2,0.7136563876651982,0.0003452238175017188,41,64,0.1,0.4,0.0,64,32,16,8
1,3,0.18947368421052632,0.00022472664994332075,48,16,0.1,0.2,0.3,64,32,16,8
1,4,0.714975845410628,0.0004737530295961662,72,32,0.1,0.2,0.3,64,32,16,8
1,5,0.6519337016574586,0.0007570166249152526,44,16,0.3,0.1,0.0,64,32,16,8
1,6,0.5536723163841808,0.0008841278748921534,57,32,0.3,0.1,0.3,64,32,16,8
1,7,0.625,0.0016295415498434227,59,16,0.3,0.3,0.1,64,32,16,8
1,8,0.6043956043956045,0.003148302188694549,37,64,0.2,0.3,0.0,64,32,16,8
1,9,0.7251461988304092,0.005677918413839926,90,16,0.4,0.3,0.3,64,32,16,8
1,10,0.4153846153846154,0.0024045776088594786,58,16,0.3,0.3,0.1,64,32,16,8
1,11,0.7168141592920354,0.0027519308357534856,79,64,0.1,0.2,0.1,64,32,16,8
1,12,0.663551401869159,0.00037900586552769077,59,32,0.2,0.3,0.0,64,32,16,8
1,13,0.024096385542168672,0.0004899771186690491,37,32,0.4,0.3,0.0,64,32,16,8
1,14,0.6666666666666666,0.0004565449238067573,71,64,0.3,0.2,0.3,64,32,16,8
1,15,0.7105263157894737,0.0009401490863411858,76,32,0.2,0.3,0.1,64,32,16,8
1,16,0.047619047619047616,0.0005248591025191541,70,64,0.3,0.4,0.3,64,32,16,8
1,17,0.6217616580310881,0.0008242350814465854,43,64,0.4,0.1,0.0,64,32,16,8
1,18,0.719626168224299,0.005807885018422765,44,64,0.2,0.4,0.0,64,32,16,8
1,19,0.024390243902439022,0.0009010276466604756,73,32,0.3,0.1,0.0,64,32,16,8
1,20,0.380952380952381,0.0028789588956782157,69,32,0.3,0.1,0.2,64,32,16,8
2,1,0.2857142857142857,0.005677918413839926,90,16,0.4,0.3,0.3,64,32,16,8
2,2,0.16666666666666666,0.0009401490863411858,90,32,0.2,0.3,0.3,64,32,16,8
2,3,0.71,0.005677918413839926,76,16,0.4,0.3,0.1,64,32,16,8
2,4,0.48275862068965514,0.005807885018422765,44,64,0.2,0.4,0.0,64,32,16,8
2,5,0.15384615384615385,0.005807885018422765,49,16,0.2,0.4,0.1,64,32,16,8
2,6,0.3458646616541353,0.008390107430260212,44,64,0.4,0.4,0.0,64,32,16,8
2,7,0.024096385542168672,0.005677918413839926,90,16,0.4,0.4,0.3,64,32,16,8
2,8,0.6767676767676768,0.0004565449238067573,71,64,0.2,0.2,0.0,64,32,16,8
2,9,0.72,0.003148302188694549,37,64,0.3,0.3,0.3,64,32,16,8
2,10,0.5538461538461538,0.0008841278748921534,57,64,0.3,0.4,0.0,64,32,16,8
2,11,0.6810810810810811,0.0003452238175017188,41,32,0.1,0.1,0.4,64,32,16,8
2,12,0.6210526315789474,0.005677918413839926,90,16,0.4,0.3,0.3,64,32,16,8
2,13,0.8128342245989304,0.00037900586552769077,70,32,0.2,0.3,0.0,64,32,16,8
2,14,0.7105263157894737,0.004341889083061742,90,16,0.4,0.3,0.3,64,32,16,8
2,15,0.6909090909090909,0.005677918413839926,90,16,0.4,0.3,0.2,64,32,16,8
2,16,0.6542056074766355,0.005807885018422765,44,64,0.2,0.4,0.0,64,32,16,8
2,17,0.6407766990291262,0.0003452238175017188,49,64,0.1,0.4,0.0,64,32,16,8
2,18,0.6912442396313365,0.005677918413839926,90,16,0.4,0.3,0.3,64,32,16,8
2,19,0.7085201793721974,0.0002888968803052222,72,32,0.1,0.2,0.3,64,32,16,8
